file,line,type,commit,author,date,time,timezone,datetime,depth,length
static\style.css,51,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,16
static\style.css,52,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,18
static\style.css,53,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,0
static\style.css,54,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,0
static\style.css,55,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,3
static\style.css,56,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,18
static\style.css,57,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,16
static\style.css,58,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,0
static\style.css,59,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,0
static\style.css,60,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,3
static\style.css,61,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,18
static\style.css,62,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,18
static\style.css,63,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,0
static\style.css,64,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,0
static\style.css,65,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,18
static\style.css,66,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,5
static\style.css,67,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,8
static\style.css,68,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,6
static\style.css,69,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,7
static\style.css,70,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,13
static\style.css,71,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,0
static\style.css,72,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,0
static\style.css,73,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,5
static\style.css,74,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,8
static\style.css,75,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,7
static\style.css,76,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,11
static\style.css,77,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,22
static\style.css,78,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,36
static\style.css,79,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,21
static\style.css,80,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,18
static\style.css,81,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,17
static\style.css,82,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,0
static\style.css,83,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,0
static\style.css,84,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,9
static\style.css,85,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,16
static\style.css,86,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,15
static\style.css,87,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,0
static\style.css,88,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,0
static\style.css,89,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,7
static\style.css,90,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,11
static\style.css,91,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,22
static\style.css,92,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,36
static\style.css,93,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,21
static\style.css,94,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,59
static\style.css,95,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,17
static\style.css,96,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,15
static\style.css,97,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,0
static\style.css,98,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,0
static\style.css,99,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,13
static\style.css,100,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,64
static\style.css,101,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,0
static\style.css,102,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,0
static\style.css,103,css,e18b18ae,joseph-mit,2026-03-05,05:24:22,-05:00,2026-03-05T05:24:22-05:00,0,58
static\style.css,104,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,5
static\style.css,105,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,13
static\style.css,106,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,33
static\style.css,107,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,14
static\style.css,108,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,16
static\style.css,109,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,18
static\style.css,110,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,0
static\style.css,111,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,0
static\style.css,112,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,11
static\style.css,113,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,17
static\style.css,114,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,0
static\style.css,115,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,0
static\style.css,116,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,16
static\style.css,117,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,19
static\style.css,118,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,0
static\style.css,119,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,0
static\style.css,120,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,12
static\style.css,121,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,19
static\style.css,122,css,4c9ee1c4,joseph-mit,2026-03-05,03:48:41,-05:00,2026-03-05T03:48:41-05:00,0,19
static\style.css,123,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,0
static\style.css,124,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,0
static\style.css,125,css,1fe614a0,joseph-mit,2026-02-26,12:02:14,-05:00,2026-02-26T12:02:14-05:00,0,11
